pl_name;Nombre_etoile;Nombre_planete;Méthode ;Orbite;Rayon;Masse terrienne;Eccentricité;Insolation;pl_eqt;Inclinaison;Température_etoile;Masse_etoile;Luminosité;Distance
11 Com b;2;1;Radial Velocity;;;;;;;;;2.60;;93.1846000
11 Com b;2;1;Radial Velocity;326.03000000;;;0.231000;;;;4742.00;2.70;2.243;93.1846000
11 Com b;2;1;Radial Velocity;323.21000000;;;0.238000;;;;4874.00;2.09;1.978;93.1846000
11 UMi b;1;1;Radial Velocity;516.21997000;;;0.080000;;;;4213.00;2.78;;125.3210000
11 UMi b;1;1;Radial Velocity;;;;;;;;;1.70;;125.3210000
11 UMi b;1;1;Radial Velocity;516.22000000;;;0.080000;;;;4340.00;1.80;;125.3210000
14 And b;1;1;Radial Velocity;186.76000000;;;0.000000;;;;4888.00;1.78;1.840;75.4392000
14 And b;1;1;Radial Velocity;;;;;;;;;1.20;;75.4392000
14 And b;1;1;Radial Velocity;185.84000000;;;0.000000;;;;4813.00;2.20;1.763;75.4392000
14 Her b;1;2;Radial Velocity;1773.40000000;;;0.369000;;;;;;;17.9323000
14 Her b;1;2;Radial Velocity;1766.00000000;;;0.359000;;;;5280.00;0.91;-0.153;17.9323000
14 Her b;1;2;Radial Velocity;1765.03890000;;2559.47216;0.373000;;;144.652;;0.91;;17.9323000
14 Her b;1;2;Radial Velocity;1773.40002000;;;0.370000;;;;5338.00;0.90;;17.9323000
14 Her b;1;2;Radial Velocity;1796.40000000;;;0.338000;;;;5255.00;0.90;-0.150;17.9323000
14 Her b;1;2;Radial Velocity;1766.41000000;;;0.367400;;;;5314.94;0.97;;17.9323000
14 Her b;1;2;Radial Velocity;1724.00000000;;;0.370000;;;;;1.00;;17.9323000
14 Her b;1;2;Radial Velocity;;;;0.357000;;;;;0.90;;17.9323000
16 Cyg B b;3;1;Radial Velocity;799.45000000;;;0.683200;;;;5711.97;0.98;;21.1397000
16 Cyg B b;3;1;Radial Velocity;798.50000000;;;0.681000;;;;5674.00;0.99;;21.1397000
16 Cyg B b;3;1;Radial Velocity;800.80000000;;;0.634000;;;;5760.00;1.00;;21.1397000
16 Cyg B b;3;1;Radial Velocity;799.50000000;;;0.689000;;;;5747.00;1.03;0.097;21.1397000
16 Cyg B b;3;1;Radial Velocity;799.50000000;;;0.689000;;;;;;;21.1397000
16 Cyg B b;3;1;Radial Velocity;798.50000000;;;0.680000;;;;5750.00;1.08;;21.1397000
17 Sco b;1;1;Radial Velocity;578.38000000;;;0.060000;;;;4157.00;1.22;2.254;124.9530000
18 Del b;2;1;Radial Velocity;993.30000000;;;0.080000;;;;4979.00;2.30;1.602;76.2220000
